filenames,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,labels
Jungfraujoch_m202001011300.jpg,-1.0665667,0.3334769,3.2598047,-0.11225123,-0.5355247,-0.08857129,-0.31393915,3.4138532,-2.2632194,-1.5747732,1.8324387,0.04636175,-1.0562342,3.814271,-0.6254741,2.5530202,0.52468324,-0.43424582,0.7709997,0.41769,1.7555194,-3.5473561,-1.4659348,-1.8120168,0.53968275,0.8959432,-2.1137664,-2.8526525,-3.1753483,0.017549396,-0.45782295,0.857787,0
Jungfraujoch_m202001021300.jpg,-1.0308285,0.21653834,3.1018617,0.001470346,-0.30450243,-0.0032666326,-0.19243076,3.4342005,-2.2589297,-1.3476709,1.8526597,0.026148401,-0.952836,3.7579002,-0.65591973,2.5152183,0.5106183,-0.32955405,0.6439925,0.51244336,1.5829866,-3.3383448,-1.4400879,-1.7842658,0.55457926,0.94637096,-2.1240237,-2.8870084,-3.2157145,-0.07056251,-0.49562615,1.0083301,0
Jungfraujoch_m202001031300.jpg,-1.6724105,-1.0750091,0.83726144,2.020251,2.76778,0.44326162,0.79049706,4.276082,-1.5433866,1.6789105,2.0038757,-0.49595708,-0.023245892,2.8992572,-0.14504799,0.99232984,0.51736206,1.630349,0.27950922,0.9992014,-1.749599,0.14991805,0.32403275,-2.0793023,0.7480769,1.1647751,-1.2805643,-1.8827106,-3.3603194,-0.8012742,-1.1091112,2.426688,0
Jungfraujoch_m202001041300.jpg,-1.534912,-1.1972895,0.6272328,2.422927,2.687934,0.69184077,0.51332915,4.152954,-1.4190164,1.8360442,2.0496213,-0.39124525,0.3255967,2.9167664,-0.075972326,0.748155,0.36250037,1.6602584,0.5769851,0.7302201,-1.3092644,0.16395155,0.3560162,-1.9460741,0.40450266,0.47702706,-1.1589128,-1.5515648,-3.2006593,-0.76010925,-0.76881444,2.6106699,0
Jungfraujoch_m202001051300.jpg,-1.1633918,0.43656737,3.529275,-0.24876231,-0.7387655,-0.14648324,-0.49724674,3.4577432,-2.3656836,-1.7932755,1.936426,0.024033286,-1.1250452,3.9764514,-0.5635607,2.613531,0.54779804,-0.5213325,0.91681755,0.3720665,1.9815795,-3.8629186,-1.4319037,-1.9115751,0.4698898,0.93547034,-2.1801543,-2.8619013,-3.2515187,0.1679005,-0.40354434,0.751729,0
Jungfraujoch_m202001061300.jpg,-1.1746242,0.4122778,3.6877398,-0.24460569,-0.7229335,-0.14249532,-0.49679145,3.5480769,-2.4363456,-1.8503267,1.992891,0.03831023,-1.1354518,4.1284313,-0.60538757,2.7107816,0.5637365,-0.50826406,0.93838745,0.40389913,2.0732286,-3.9507337,-1.4703603,-1.9716463,0.47846502,1.0058012,-2.2865627,-3.0107877,-3.367581,0.22697812,-0.4281541,0.7503106,0
Jungfraujoch_m202001071300.jpg,-1.1342257,0.4057887,3.5082874,-0.2280031,-0.68427545,-0.120198265,-0.43429065,3.4610696,-2.3752518,-1.7573935,1.9489474,0.009957366,-1.1247363,3.9796991,-0.6156583,2.6266193,0.5586376,-0.52055925,0.87194157,0.3983451,1.9666739,-3.801841,-1.4645677,-1.8984889,0.48311806,0.95389414,-2.1933155,-2.8965802,-3.2800949,0.14596534,-0.4116853,0.8059827,0
Jungfraujoch_m202001081300.jpg,-0.9135815,0.012886524,2.3477015,0.2355124,0.21873064,0.21256277,0.2775148,3.2380383,-2.0306346,-0.61756676,1.653052,-0.30896476,-0.6696485,3.0781856,-0.78850085,2.2912989,0.37630236,-0.43584105,0.010969866,0.70408314,0.9357751,-2.2809339,-1.4482898,-1.5265919,0.65839434,0.83872974,-1.819167,-2.4342387,-2.9364207,-0.3982357,-0.38828754,1.5290782,0
Jungfraujoch_m202001091300.jpg,-1.3327107,0.0657972,3.9843168,-0.0472626,-0.14785272,0.055733882,-0.36655965,3.7695298,-2.6291654,-1.5606141,2.6308117,-0.13551614,-0.6406099,4.874952,-0.5864303,2.8156521,0.55091596,-0.5674634,1.0717988,0.999467,2.6258624,-4.277235,-1.3496698,-2.4756355,0.358506,0.7094845,-2.5883675,-3.333977,-3.7852206,0.4422649,-0.23288198,1.2012348,0
Jungfraujoch_m202001101300.jpg,-1.0022615,0.17201392,2.547464,-0.012512671,-0.11287728,0.097980686,0.087832384,3.153455,-1.9488665,-0.90932673,1.5471928,-0.23330857,-0.81004393,3.128418,-0.65455383,2.2499154,0.40404898,-0.4929448,0.23745114,0.5641453,1.059792,-2.6595836,-1.4734813,-1.5150242,0.7014344,0.77209055,-1.8332078,-2.3773675,-2.8036413,-0.38640553,-0.408051,1.1447908,0
Jungfraujoch_m202001111300.jpg,-1.208772,0.4669644,3.6063704,-0.3253446,-0.812956,-0.16480373,-0.5402598,3.4701445,-2.4212487,-1.8919483,1.9602836,0.086364456,-1.23622,4.0638037,-0.5238567,2.6303425,0.5518918,-0.5328615,0.992246,0.34643257,2.085589,-3.9969375,-1.4953187,-1.9306242,0.4818097,0.90263784,-2.243855,-2.9069576,-3.2744403,0.15660626,-0.40329784,0.697091,0
Jungfraujoch_m202001121300.jpg,-1.246274,0.5150884,3.644131,-0.3583979,-0.8897605,-0.18457541,-0.5831756,3.465054,-2.4253695,-1.9654835,1.9597636,0.06694804,-1.2717358,4.074514,-0.48832372,2.6153057,0.54581743,-0.582525,1.0505574,0.30039734,2.1636739,-4.058214,-1.5107827,-1.9485999,0.46539474,0.8434566,-2.2233183,-2.848365,-3.2477808,0.18564907,-0.3751718,0.6643114,0
Jungfraujoch_m202001131300.jpg,-1.3341683,-1.0155681,1.4804338,1.7393696,2.3977413,0.6886019,0.80309707,4.0515985,-2.0011683,1.2149394,2.3741288,-0.3107183,-0.014683498,3.4197176,-0.42470706,1.5221126,0.44553658,1.238497,0.3631119,1.0025318,-0.46560377,-0.71510017,-0.5035079,-2.097215,0.54457295,0.9579789,-1.9531331,-2.4136562,-3.6530926,-0.7495852,-1.0943365,2.4406185,0
Jungfraujoch_m202001141300.jpg,-1.6936737,-1.256175,-0.41147614,2.0524468,3.3934064,0.62906957,1.403981,4.3247766,-1.4044816,2.2445652,1.366766,-0.23851219,0.014951248,2.429629,0.07467372,0.70498633,0.3516531,1.9477314,-0.33460942,1.0554092,-2.715004,0.8949596,-0.047724947,-1.5862292,1.2433058,0.9362484,-0.96592563,-1.887245,-2.9877105,-1.9888835,-1.2095635,2.7301514,0
Jungfraujoch_m202001151300.jpg,-1.0300384,0.20293428,2.6851985,-0.03264106,-0.06890845,0.069263466,0.2034914,3.2465098,-2.0252616,-0.990264,1.670665,-0.44683775,-0.8714137,3.2471964,-0.79336256,2.3624287,0.47642392,-0.69205654,0.13689679,0.63041204,1.201749,-2.5935616,-1.590912,-1.6242609,0.69206846,0.76498526,-1.806475,-2.3786898,-2.9635808,-0.26348302,-0.3532687,1.3223168,0
Jungfraujoch_m202001161300.jpg,-1.1392496,0.36840647,3.411953,-0.25241747,-0.608614,-0.05964206,-0.3550874,3.4211648,-2.4561033,-1.6567194,1.9991752,0.075167224,-1.188962,3.9485607,-0.59266686,2.609744,0.51902384,-0.48895016,0.8097369,0.43941617,1.9380627,-3.729241,-1.5575812,-1.871551,0.5122922,0.95985955,-2.295461,-2.9245675,-3.291004,0.011674926,-0.44783118,0.89089125,0
Jungfraujoch_m202001171300.jpg,-1.5538648,-0.90055436,2.151659,1.7950623,2.2573488,0.47470066,0.5152843,4.5883102,-2.0881457,0.8423466,2.494093,-0.3722213,-0.023422286,3.9927752,-0.402447,1.8037956,0.52630687,1.1909212,0.63151926,1.1374309,-0.13250712,-1.2588811,-0.3759915,-2.5283036,0.5182128,1.0170468,-2.086786,-2.6756177,-3.8923564,-0.37527925,-1.1206324,2.3797038,0
Jungfraujoch_m202001181300.jpg,-0.78503984,0.06372169,1.6459885,0.1774874,0.13713956,0.22176817,0.118992,2.691629,-1.9495896,-0.40460047,1.527903,0.3102081,-0.8931094,2.6056566,-0.39500013,1.8398981,0.31724694,-0.10325284,0.09910727,0.54236805,0.69697267,-2.2955575,-1.3528749,-1.1769109,0.6017579,0.59244347,-1.7508603,-2.2400782,-2.6411543,-0.80803955,-0.4610831,1.3966889,0
Jungfraujoch_m202001191300.jpg,-0.8390149,0.08175118,1.8542994,0.30113754,0.08371759,-0.006498322,0.06333153,3.1069293,-1.9781237,-0.6735894,1.401556,0.5468437,-1.2194222,2.9421732,-0.37808818,2.0018408,0.38796172,0.23089275,0.4739244,0.42111164,0.7249415,-2.4976556,-1.4618366,-1.3562407,0.6937701,0.5694508,-1.8172445,-2.5087128,-2.7136025,-0.8042974,-0.78820944,1.1517179,0
Jungfraujoch_m202001201300.jpg,-0.8474622,0.19171579,2.1511729,0.052888706,-0.19697186,0.12083828,-0.01948442,2.9250734,-2.0751052,-0.8738723,1.5939766,0.2581061,-1.076885,2.996925,-0.50309384,2.0914361,0.3734719,-0.20169586,0.42998284,0.40157896,1.1743892,-2.7701075,-1.5090061,-1.3306012,0.570776,0.5698973,-1.8649994,-2.4093764,-2.7831779,-0.5571856,-0.41636,1.181431,0
Jungfraujoch_m202001211300.jpg,-0.8329375,0.08464077,1.9393727,0.102486596,0.023299463,0.15511326,0.14590536,2.963139,-2.000921,-0.65081525,1.4717554,0.25167844,-1.0373958,2.8960247,-0.5281521,2.0465667,0.383189,-0.16409504,0.16688898,0.6059161,0.8507803,-2.5112069,-1.5104077,-1.3018426,0.6897187,0.6576888,-1.8452449,-2.475479,-2.711289,-0.7493161,-0.4949919,1.3147898,0
Jungfraujoch_m202001221300.jpg,-0.9337767,0.31530768,2.531783,-0.07419792,-0.42763776,0.030947227,-0.1473722,3.0257213,-2.1744347,-1.1831756,1.6956229,0.2015548,-1.1359143,3.242286,-0.52273077,2.246736,0.40673,-0.3812957,0.56137735,0.37676185,1.4593433,-3.0917966,-1.5128392,-1.4906473,0.55252993,0.6415091,-1.9395096,-2.4931145,-2.871653,-0.36850715,-0.37357527,1.0773042,0
